Jukes/Cantor and Kimura subsitution levels adjusted for CpG sites
=================================================================
File: sorted_clean_P.capsici_isolate_WB2_Final_HiC.fasta.align
Weighted average Kimura divergence for each repeat family
Class	Repeat	absLen	wellCharLen	Kimura%
LINE/RTE-BovB	Halyomorpha_halys-5_family-1166	175	171	32.79
LINE/RTE-BovB	LINE_A.kagoshimensis_13_cons	41	41	16.66
LINE/RTE-BovB	LINE_A.kagoshimensis_92_cons	57	57	25.66
LINE/RTE-BovB	LINE_D.rostriformis_100_cons	96	96	17.32
LINE/RTE-BovB	LINE_M.nervosa_3_cons	63	59	17.41
LINE/RTE-BovB	LINE_M.nervosa_69_cons	52	52	31.20
LINE/RTE-BovB	LINE_S.constricta_11_cons	46	38	35.13
LINE/RTE-BovB	MamRTE1	72	70	30.16
LINE/RTE-BovB	TE2377_SO2_FAM0438	37	28	31.44
LINE/RTE-BovB	TE2408_SO2_FAM0471	23	23	24.56
LINE/RTE-BovB	TE2644_SO2_FAM0707	80	80	21.23
LINE/RTE-RTE	DF003448770	135	133	24.21
LINE/RTE-RTE	DF003448921	92	90	37.34
LINE/RTE-RTE	DF003449307	707	706	41.15
LINE/RTE-RTE	Halyomorpha_halys-1_family-624	198	192	26.25
LINE/RTE-X	LINE_C.gigas_3_cons	42	42	22.78
LINE/RTE-X	LINE_M.edulis_157_cons	109	96	30.46
LINE/RTE-X	LINE_M.edulis_182_cons	37	37	14.91
LINE/RTE-X	LINE_M.edulis_98_cons	143	143	23.15
LTR	LTR-15_Hm_I	396	385	45.85
LTR	LTR-1_Avan	477	438	26.29
LTR	LTR5B_DR	103	98	36.23
LTR	Pcap_106	16508	16377	6.95
LTR	Pcap_107	40009	39684	9.34
LTR	Pcap_123	54911	54219	11.65
LTR	Pcap_182	44161	43620	9.88
LTR	Pcap_194	74213	73989	3.22
LTR	Pcap_204	37375	37352	1.35
LTR	Pcap_205	85613	85504	4.59
LTR	Pcap_223	56164	55596	14.10
LTR	Pcap_25	25336	25120	20.81
LTR	Pcap_269	82796	80844	19.55
LTR	Pcap_300	71840	70956	9.09
LTR	Pcap_400	828	806	25.54
LTR	Pcap_59	43876	43417	22.84
LTR	Pcap_82	25281	25114	10.46
LTR	Pcap_93	22136	22076	5.93
LTR	ScaAqu-5.1290	81	74	24.05
LTR-non	Pcap_301	59895	59000	17.44
LTR/Copia	Acol_copia_Ele11	-16	-20	100
LTR/Copia	Acol_copia_Ele12	125	111	32.10
LTR/Copia	Acol_copia_Ele14	205	199	36.18
LTR/Copia	Acol_copia_Ele17	78	78	28.23
LTR/Copia	Acol_copia_Ele19	182	173	34.74
LTR/Copia	Acol_copia_Ele20	48	48	34.99
LTR/Copia	Acol_copia_Ele22	153	141	30.74
LTR/Copia	Acol_copia_Ele4	227	221	43.27
LTR/Copia	Acol_copia_Ele5	21	19	36.31
LTR/Copia	Acol_copia_Ele7	55	41	49.64
LTR/Copia	Acol_copia_Ele8	198	195	47.97
LTR/Copia	Copia-3_INT_AstCal	90	21	54.57
LTR/Copia	Copia1-I_DM	9	9	41.05
LTR/Copia	Pcap_10	9136	9085	17.74
LTR/Copia	Pcap_110	9823	9727	5.23
LTR/Copia	Pcap_114	10667	10578	3.89
LTR/Copia	Pcap_118	14028	13850	8.80
LTR/Copia	Pcap_126	21044	20565	22.72
LTR/Copia	Pcap_130	59074	58388	24.83
LTR/Copia	Pcap_131	24025	23885	3.14
LTR/Copia	Pcap_133	4463	4452	6.33
LTR/Copia	Pcap_138	6595	6498	4.34
LTR/Copia	Pcap_14	43748	43512	17.61
LTR/Copia	Pcap_146	10971	10758	22.27
LTR/Copia	Pcap_148	41959	41861	7.52
LTR/Copia	Pcap_152	4426	4426	0.71
LTR/Copia	Pcap_159	14502	14443	6.12
LTR/Copia	Pcap_170	32940	32149	31.89
LTR/Copia	Pcap_172	7031	7029	2.98
LTR/Copia	Pcap_173	3092	3081	5.26
LTR/Copia	Pcap_177	18038	17821	10.88
LTR/Copia	Pcap_178	788737	787060	6.82
LTR/Copia	Pcap_185	186063	184611	11.79
LTR/Copia	Pcap_191	37225	37092	4.57
LTR/Copia	Pcap_199	26759	26688	3.54
LTR/Copia	Pcap_20	2953492	2942796	3.31
LTR/Copia	Pcap_203	22214	22095	10.61
LTR/Copia	Pcap_208	40619	40171	28.35
LTR/Copia	Pcap_21	151541	149420	18.79
LTR/Copia	Pcap_212	31854	31505	10.07
LTR/Copia	Pcap_226	226212	209679	7.28
LTR/Copia	Pcap_26	56945	56290	18.07
LTR/Copia	Pcap_272	1820	1801	29.97
LTR/Copia	Pcap_29	48554	47965	18.54
LTR/Copia	Pcap_309	6967	6895	28.58
LTR/Copia	Pcap_31	27979	27829	14.22
LTR/Copia	Pcap_32	12309	12220	8.37
LTR/Copia	Pcap_332	1270	1270	21.52
LTR/Copia	Pcap_34	12132	11959	23.08
LTR/Copia	Pcap_35	4148	4089	14.06
LTR/Copia	Pcap_354	1997	1983	21.60
LTR/Copia	Pcap_36	20809	20724	9.60
LTR/Copia	Pcap_401	14820	14061	14.09
LTR/Copia	Pcap_448	9580	9438	10.88
LTR/Copia	Pcap_45	29608	29439	4.44
LTR/Copia	Pcap_456	281	273	27.22
LTR/Copia	Pcap_469	35613	34780	15.76
LTR/Copia	Pcap_49	62057	61903	1.28
LTR/Copia	Pcap_51	21039	20981	2.03
LTR/Copia	Pcap_53	1692	1692	0.32
LTR/Copia	Pcap_54	1870	1870	0.43
LTR/Copia	Pcap_6	20105	19878	21.83
LTR/Copia	Pcap_65	32252	32226	2.36
LTR/Copia	Pcap_69	27378	27111	16.94
LTR/Copia	Pcap_7	6035	6003	7.65
LTR/Copia	Pcap_71	58478	57726	23.07
LTR/Copia	Pcap_80	45187	44607	20.61
LTR/Copia	Pcap_81	25975	25716	21.04
LTR/Copia	Pcap_85	15774	15620	5.66
LTR/Copia	Pcap_88	11803	11739	14.42
LTR/Copia	Pcap_92	17266	17174	4.77
LTR/Copia	Pcap_95	40850	40440	11.13
LTR/Copia	Pcap_97	18602	18408	25.06
LTR/Copia	Pcap_99	5983	5970	5.05
LTR/Copia	TE2037_SO2_FAM0295	44	44	24.51
LTR/Copia	TE2260_SO2_FAM0320	30	26	39.41
LTR/Copia	TE2389_SO2_FAM0450	58	54	41.74
LTR/DIRS	DF003448799	174	164	27.28
LTR/DIRS	Pcap_113	54764	54493	14.48
LTR/DIRS	Pcap_115	19397	19358	5.10
LTR/DIRS	Pcap_116	23439	23314	19.14
LTR/DIRS	Pcap_120	29493	28882	18.76
LTR/DIRS	Pcap_129	7370	7165	8.14
LTR/DIRS	Pcap_13	29577	29512	2.63
LTR/DIRS	Pcap_167	89884	89144	17.65
LTR/DIRS	Pcap_180	30593	30405	13.81
LTR/DIRS	Pcap_195	65057	64985	2.44
LTR/DIRS	Pcap_198	40826	40658	6.13
LTR/DIRS	Pcap_220	19333	19237	13.02
LTR/DIRS	Pcap_23	30492	30356	4.58
LTR/DIRS	Pcap_3	17461	17354	6.92
LTR/DIRS	Pcap_40	28680	28551	4.90
LTR/DIRS	Pcap_48	30135	30072	5.28
LTR/DIRS	Pcap_5	53995	53715	14.38
LTR/DIRS	Pcap_52	40102	39529	27.13
LTR/DIRS	Pcap_57	31019	30977	1.43
LTR/DIRS	Pcap_75	68803	68662	3.78
LTR/DIRS	Pcap_8	112927	112765	3.52
LTR/DIRS	Pcap_84	38976	38480	21.12
LTR/DIRS	Pcap_86	33012	32569	24.98
LTR/DIRS	Pcap_94	50687	50347	14.24
LTR/DIRS	Pcap_96	28981	28978	0.52
LTR/DIRS	Pcap_98	12380	12345	9.24
LTR/ERV	ERV-2_INT_AstCal	78	76	20.26
LTR/ERV1	BosInd-5.336_int	47	47	19.33
LTR/ERV1	DF000282914	54	54	22.39
LTR/ERV1	DF000282992	82	80	23.76
LTR/ERV1	ERV1-1B_DR-I	44	44	5.06
LTR/ERV1	ERV1-3_INT_AstCal	53	53	24.30
LTR/ERV1	ERV1-7_INT_AstCal	119	111	28.43
LTR/ERV1	ERV1-N9-I_DR	130	123	40.67
LTR/ERV1	EnhLut-1.121	248	233	34.82
LTR/ERV1	EscRob-1.231	39	39	14.38
LTR/ERV1	GraMur-5.1979_int	76	73	35.09
LTR/ERV1	LTR21B	62	62	25.62
LTR/ERV1	MER57-int	57	57	28.46
LTR/ERV1	ManPen-6.142	49	49	18.94
LTR/ERV1	MorBla-1.200_int	98	95	30.32
LTR/ERV1	NanGal-1.321_int	108	108	19.25
LTR/ERV1	OkaJoh-6.974	76	76	30.82
LTR/ERV1	Pcap_493	55447	54532	20.82
LTR/ERV1	SigHis-5.299_int	95	91	38.35
LTR/ERV1	TadBra-1.242b	120	118	38.60
LTR/ERV1	ThrSwi-6.270_int	37	37	18.61
LTR/ERV1	ZipCav-5.1361	51	50	19.31
LTR/ERVK	AmmLer-1.202	53	52	25.13
LTR/ERVK	CriGri-1.197_LTR	42	42	10.21
LTR/ERVK	DasNov-1.314_int	76	74	30.09
LTR/ERVK	ERVB4_1-I_MM	65	63	22.50
LTR/ERVK	HERVK11	62	57	22.78
LTR/ERVK	MMERVK9E_I	34	34	6.46
LTR/ERVK	MacSob-5.1385	45	45	12.11
LTR/ERVK	MusCar-5.1666_LTR	83	83	28.50
LTR/ERVK	Pcap_235	92954	88960	10.09
LTR/ERVK	PilTep-6.4531	114	114	21.68
LTR/ERVK	Pman_ERVK_5.46	120	118	24.34
LTR/ERVK	Pman_ERVK_6.5502	66	66	25.29
LTR/ERVK	Pman_ERVK_6.9269	128	128	23.77
LTR/ERVK	RLTR13D4	80	76	33.57
LTR/ERVK	RNERVK23	68	67	31.27
LTR/ERVK	RatNor-5.105	59	58	22.57
LTR/ERVK	SigHis-1.326_int	86	82	16.55
LTR/ERVK	TolMat-1.353_int	69	67	34.22
LTR/ERVL	BalAcu-1.250	87	85	34.45
LTR/ERVL	ERVL67B	226	202	31.55
LTR/ERVL	EchTel-1.398_int	60	57	28.45
LTR/ERVL	GalVar-1.127	39	39	14.38
LTR/ERVL	ManPen-6.133_int	61	57	20.25
LTR/ERVL	NanGal-1.205	74	74	35.50
LTR/ERVL	OryAfe-1.174	76	70	23.41
LTR/ERVL	Pman_ERVL_6.10983	35	35	9.71
LTR/ERVL	ProCap-4.66_int	123	119	37.56
LTR/ERVL	TriMan-6.282_int	184	177	31.47
LTR/ERVL-MaLR	MyrTri-1.10_int	61	59	17.69
LTR/ERVL-MaLR	Pman_ERVL-MALR_6.16429	176	174	38.44
LTR/ERVL-MaLR	Pman_ERVL-MALR_6.67	63	63	29.21
LTR/Gypsy	ACCORD2_I	17	16	31.07
LTR/Gypsy	ACCORD_I	75	75	32.28
LTR/Gypsy	Acol_gypsy_Ele18	53	51	26.75
LTR/Gypsy	Acol_gypsy_Ele20	1329	1312	22.75
LTR/Gypsy	Acol_gypsy_Ele35	86	86	32.88
LTR/Gypsy	Acol_gypsy_Ele40	234	232	27.99
LTR/Gypsy	Acol_gypsy_Ele42	38	38	8.34
LTR/Gypsy	Acol_gypsy_Ele44	46	45	20.96
LTR/Gypsy	Acol_gypsy_Ele46	982	946	26.97
LTR/Gypsy	Acol_gypsy_Ele57	66	66	31.96
LTR/Gypsy	Acol_gypsy_Ele60	35	19	54.88
LTR/Gypsy	Acol_gypsy_Ele73	295	277	14.57
LTR/Gypsy	Acol_gypsy_Ele76	73	67	19.08
LTR/Gypsy	Acol_gypsy_Ele77	90	90	23.53
LTR/Gypsy	Acol_gypsy_Ele8	90	90	20.96
LTR/Gypsy	Acol_gypsy_Ele84	150	150	22.64
LTR/Gypsy	Copia-13C_DR-I	436	426	26.75
LTR/Gypsy	Copia-6-I_DR	964	884	33.20
LTR/Gypsy	Copia-7-I_DR	549	539	34.33
LTR/Gypsy	Copia-8-I_DR	425	423	43.54
LTR/Gypsy	Copia2-I_DR	627	589	33.09
LTR/Gypsy	DF003447519	36	36	20.27
LTR/Gypsy	DF003447888	116	114	14.71
LTR/Gypsy	DF003447937	92	92	33.80
LTR/Gypsy	DF003448085	676	640	37.07
LTR/Gypsy	DF003448091	-8	-13	100
LTR/Gypsy	DF003448295	53	50	21.80
LTR/Gypsy	DF003448354	53	53	17.11
LTR/Gypsy	DF003448362	279	271	23.49
LTR/Gypsy	DF003448439	73	69	31.62
LTR/Gypsy	DF003448441	80	80	17.69
LTR/Gypsy	DF003448623	60	60	21.64
LTR/Gypsy	DF003448724	41	41	17.20
LTR/Gypsy	DF003448794	48	48	19.13
LTR/Gypsy	DF003449282	44	44	15.68
LTR/Gypsy	DF003449450	75	75	35.48
LTR/Gypsy	DF003449507	103	86	28.20
LTR/Gypsy	DF003449626	48	48	17.03
LTR/Gypsy	DF003449635	201	201	36.75
LTR/Gypsy	DF003449747	479	478	19.82
LTR/Gypsy	DF003449885	53	52	13.03
LTR/Gypsy	DF003449938	35	35	9.51
LTR/Gypsy	DF003450109	71	68	28.91
LTR/Gypsy	DF003450175	74	73	30.51
LTR/Gypsy	DF003450219	51	51	37.20
LTR/Gypsy	DF003450295	48	48	20.00
LTR/Gypsy	Gypsy-107_INT_AstCal	267	266	37.58
LTR/Gypsy	Gypsy-12_INT_AstCal	-1	-4	100
LTR/Gypsy	Gypsy-165-I_DR	104	98	27.35
LTR/Gypsy	Gypsy-171_DR-I	143	135	33.86
LTR/Gypsy	Gypsy-183_DR-I	51	49	21.12
LTR/Gypsy	Gypsy-188_DR-I	799	786	30.84
LTR/Gypsy	Gypsy-193_DR-I	70	67	34.22
LTR/Gypsy	Gypsy-197_DR-I	51	50	26.67
LTR/Gypsy	Gypsy-205_DR-I	303	300	29.54
LTR/Gypsy	Gypsy-21_INT_AstCal	76	76	35.14
LTR/Gypsy	Gypsy-26-I_DR	63	62	26.25
LTR/Gypsy	Gypsy-28-I_DR	66	60	20.04
LTR/Gypsy	Gypsy-28_INT_AstCal	212	212	38.57
LTR/Gypsy	Gypsy-33_INT_AstCal	47	47	22.63
LTR/Gypsy	Gypsy-35_INT_AstCal	60	60	23.85
LTR/Gypsy	Gypsy-41_INT_AstCal	60	60	26.46
LTR/Gypsy	Gypsy-42_INT_AstCal	286	279	24.99
LTR/Gypsy	Gypsy-55_INT_AstCal	61	61	21.45
LTR/Gypsy	Gypsy-70_INT_AstCal	43	43	22.48
LTR/Gypsy	Gypsy-72_INT_AstCal	10	9	25.67
LTR/Gypsy	Gypsy-84_INT_AstCal	86	86	27.21
LTR/Gypsy	Gypsy103-I_Dr	92	84	19.33
LTR/Gypsy	Gypsy11-LTR_DR	67	64	19.54
LTR/Gypsy	Gypsy11_I	42	41	30.78
LTR/Gypsy	Gypsy13-I_DR	45	44	18.35
LTR/Gypsy	Gypsy143-I_DR	104	102	34.12
LTR/Gypsy	Gypsy146-I_DR	95	90	32.20
LTR/Gypsy	Gypsy172-I_Dr	53	53	25.41
LTR/Gypsy	Gypsy51-I_DR	85	82	27.96
LTR/Gypsy	Gypsy56-I_DR	341	338	42.92
LTR/Gypsy	Gypsy5_I	-87	-89	100
LTR/Gypsy	Gypsy66-I_DR	60	58	34.71
LTR/Gypsy	Gypsy6_I	68	68	26.59
LTR/Gypsy	Gypsy70-I_DR	67	66	23.49
LTR/Gypsy	Gypsy71-I_DR	106	104	17.55
LTR/Gypsy	Gypsy7_I	37	37	15.39
LTR/Gypsy	Gypsy84-I_DR	-19	-52	100
LTR/Gypsy	Gypsy98-LTR_Dr	326	309	37.24
LTR/Gypsy	Halyomorpha_halys-1_family-232	-8	-27	100
LTR/Gypsy	Invader1_I	32	32	14.38
LTR/Gypsy	Invader6_I	74	74	27.85
LTR/Gypsy	Pcap_101	20611	20518	8.85
LTR/Gypsy	Pcap_103	1029797	1020875	13.85
LTR/Gypsy	Pcap_105	7954	7939	1.36
LTR/Gypsy	Pcap_108	81390	81179	2.71
LTR/Gypsy	Pcap_109	26235	26011	19.02
LTR/Gypsy	Pcap_117	21088	21025	12.25
LTR/Gypsy	Pcap_12	418157	416476	6.40
LTR/Gypsy	Pcap_121	61218	60935	4.32
LTR/Gypsy	Pcap_125	43751	43648	6.53
LTR/Gypsy	Pcap_128	69218	68116	18.65
LTR/Gypsy	Pcap_132	56413	56319	5.46
LTR/Gypsy	Pcap_135	27938	27912	3.72
LTR/Gypsy	Pcap_137	9368	9343	4.54
LTR/Gypsy	Pcap_141	43951	43870	4.07
LTR/Gypsy	Pcap_144	7656	7646	2.00
LTR/Gypsy	Pcap_145	5241	5088	18.13
LTR/Gypsy	Pcap_15	35023	34636	18.24
LTR/Gypsy	Pcap_153	92084	79021	13.39
LTR/Gypsy	Pcap_154	4879	4806	4.40
LTR/Gypsy	Pcap_16	220950	219838	2.74
LTR/Gypsy	Pcap_160	2993	2993	3.65
LTR/Gypsy	Pcap_164	56028	55569	17.18
LTR/Gypsy	Pcap_165	2590	2590	2.01
LTR/Gypsy	Pcap_168	3498	3491	1.19
LTR/Gypsy	Pcap_175	61729	61089	18.95
LTR/Gypsy	Pcap_18	48042	48029	3.29
LTR/Gypsy	Pcap_181	1394634	1391790	2.47
LTR/Gypsy	Pcap_184	40800	40641	2.85
LTR/Gypsy	Pcap_187	58842	58782	2.34
LTR/Gypsy	Pcap_188	29223	28825	23.49
LTR/Gypsy	Pcap_19	44195	43834	20.81
LTR/Gypsy	Pcap_190	103301	102348	15.32
LTR/Gypsy	Pcap_192	26075	26009	2.48
LTR/Gypsy	Pcap_2	29482	29388	7.27
LTR/Gypsy	Pcap_202	46327	46107	5.45
LTR/Gypsy	Pcap_207	29665	29639	2.95
LTR/Gypsy	Pcap_209	67687	67169	1.94
LTR/Gypsy	Pcap_211	90374	90098	8.97
LTR/Gypsy	Pcap_213	61933	61604	21.40
LTR/Gypsy	Pcap_215	26254	25993	6.28
LTR/Gypsy	Pcap_217	44776	44697	2.78
LTR/Gypsy	Pcap_218	29903	29809	3.36
LTR/Gypsy	Pcap_222	67499	67300	5.59
LTR/Gypsy	Pcap_225	36696	36395	15.09
LTR/Gypsy	Pcap_227	996035	968291	11.84
LTR/Gypsy	Pcap_234	28091	27633	16.95
LTR/Gypsy	Pcap_237	46415	45227	32.84
LTR/Gypsy	Pcap_24	1817	1791	12.68
LTR/Gypsy	Pcap_247	13169	12957	23.38
LTR/Gypsy	Pcap_260	30609	30313	7.17
LTR/Gypsy	Pcap_275	167463	165604	11.67
LTR/Gypsy	Pcap_28	20549	20497	9.34
LTR/Gypsy	Pcap_293	13579	13401	11.59
LTR/Gypsy	Pcap_30	52087	51831	6.91
LTR/Gypsy	Pcap_304	4700	4665	8.29
LTR/Gypsy	Pcap_305	35885	34798	17.76
LTR/Gypsy	Pcap_33	56550	56457	2.14
LTR/Gypsy	Pcap_348	58132	57022	6.03
LTR/Gypsy	Pcap_356	3752	3736	17.97
LTR/Gypsy	Pcap_38	42448	42352	6.29
LTR/Gypsy	Pcap_417	49161	49126	2.87
LTR/Gypsy	Pcap_43	123932	121653	23.06
LTR/Gypsy	Pcap_452	251897	251390	4.80
LTR/Gypsy	Pcap_491	25213	24796	16.69
LTR/Gypsy	Pcap_50	132552	131436	5.68
LTR/Gypsy	Pcap_501	23254	22783	8.19
LTR/Gypsy	Pcap_56	36545	36126	17.87
LTR/Gypsy	Pcap_60	16520	16344	21.10
LTR/Gypsy	Pcap_62	64322	64287	3.03
LTR/Gypsy	Pcap_64	54267	53921	9.85
LTR/Gypsy	Pcap_66	77377	76988	5.69
LTR/Gypsy	Pcap_68	527114	522962	16.80
LTR/Gypsy	Pcap_70	31701	31292	26.75
LTR/Gypsy	Pcap_76	81381	80887	9.68
LTR/Gypsy	Pcap_78	33214	33151	7.28
LTR/Gypsy	Pcap_87	5522	5504	6.86
LTR/Gypsy	Pcap_9	24075	23990	9.09
LTR/Gypsy	Pcap_90	7020	6942	12.16
LTR/Gypsy	Pcap_91	21018	20937	7.66
LTR/Gypsy	SE15195_novo-B-R4-Map20	87	87	34.10
LTR/Gypsy	Stalker2_I	114	113	35.10
LTR/Gypsy	TE0050_SO2_FAM0105	61	59	33.45
LTR/Gypsy	TE0503_SO2_FAM0149	63	63	24.23
LTR/Gypsy	TE1012_SO2_FAM0199	85	79	20.39
LTR/Gypsy	TE1056_SO2_FAM0203	40	40	16.81
LTR/Gypsy	TE1108_SO2_FAM0208	55	55	20.94
LTR/Gypsy	TE1377_SO2_FAM0234	52	51	26.43
LTR/Gypsy	TE2327_SO2_FAM0039	108	102	29.97
LTR/Gypsy	TE2388_SO2_FAM0045	42	42	23.68
LTR/Gypsy	TE2527_SO2_FAM0587	45	45	23.85
LTR/Gypsy	TE2625_SO2_FAM0687	53	53	24.57
LTR/Gypsy	TE2666_SO2_FAM0073	58	58	44.73
LTR/Gypsy	TE2756_SO2_FAM0083	58	55	23.50
LTR/Gypsy	TE2900_SO2_FAM0097	77	68	20.75
LTR/Gypsy	TE3391_SO2_FAM094	102	102	25.53
LTR/Gypsy	TIRANT_I	95	95	38.83
LTR/Gypsy	TRANSPAC_I	106	106	32.35
LTR/Ngaro	DIRS-4N3_DR	57	57	32.88
LTR/Ngaro	DIRS-4_DR	628	596	46.29
LTR/Ngaro	DIRS-8B_DR	219	213	31.95
LTR/Ngaro	DIRS-8_DR	1903	1793	37.13
LTR/Ngaro	Pcap_134	53810	52865	33.07
LTR/Ngaro	Pcap_273	34396	33814	23.62
LTR/Pao	BEL1-I_DR	54	54	26.41
LTR/Pao	BEL20-I_DR	81	80	29.74
LTR/Pao	BEL24-I_DR	48	48	22.07
LTR/Pao	BEL31-I_DR	82	82	13.32
LTR/Pao	BEL35-I_DR	37	37	14.91
LTR/Pao	BEL7-I_DR	45	45	20.30
LTR/Pao	DF003447602	92	92	20.80
LTR/Pao	DF003447697	66	60	17.69
LTR/Pao	DF003447939	42	41	6.00
LTR/Pao	DF003448045	46	46	12.09
LTR/Pao	DF003448318	406	406	31.29
LTR/Pao	DF003448447	165	162	31.47
LTR/Pao	DF003448583	34	34	9.71
LTR/Pao	DF003448584	891	838	25.56
LTR/Pao	DF003448603	720	720	20.55
LTR/Pao	DF003449142	66	65	20.35
LTR/Pao	DF003449319	42	41	16.87
LTR/Pao	DF003449339	62	62	14.57
LTR/Pao	DF003449341	63	63	24.37
LTR/Pao	DF003449372	113	111	25.78
LTR/Pao	DF003449619	43	43	13.23
LTR/Pao	DF003449663	53	53	27.45
LTR/Pao	DF003449690	83	83	19.69
LTR/Pao	DF003449832	63	57	20.09
LTR/Pao	DF003449867	87	85	30.61
LTR/Pao	DF003449926	93	90	33.20
LTR/Pao	DF003449959	59	57	16.30
LTR/Pao	DF003449983	35	35	12.99
LTR/Pao	DF003450178	83	83	26.71
LTR/Pao	NINJA_I	83	80	28.20
LTR/Pao	Pao-25_INT_AstCal	70	70	29.75
LTR/Pao	Pao-35_INT_AstCal	63	63	31.56
LTR/Pao	Pao-37_INT_AstCal	82	79	24.72
LTR/Pao	Pao-38_AstCal	61	61	20.39
LTR/Pao	Pao-6_INT_AstCal	57	54	14.25
LTR/Pao	Pao-7_INT_AstCal	84	81	28.49
LTR/Pao	ROO_I	305	301	27.24
LTR/Pao	TE0102_SO2_FAM0011	58	58	27.01
LTR/Pao	TE0303_SO2_FAM0013	70	65	17.49
LTR/Pao	TE0389_SO2_FAM0138	87	84	41.69
PLE/Chlamys	Chlamys-10c_cRei	49	49	14.12
PLE/Chlamys	Chlamys-1_cInc	382	380	29.26
PLE/Chlamys	Chlamys-1_tObl	258	230	14.24
PLE/Chlamys	Chlamys-2_tObl	68	62	23.17
PLE/Chlamys	Chlamys-3_cRei	131	125	20.38
PLE/Chlamys	Chlamys-4_cBra	283	271	30.27
PLE/Chlamys	Chlamys-4_cRei	8560	8013	33.70
PLE/Chlamys	Chlamys-4_eDeb	40	32	19.26
PLE/Chlamys	Chlamys-5_cSch	6425	6220	25.73
PLE/Chlamys	Chlamys-6_cBra	173	158	26.13
PLE/Chlamys	Chlamys-8_cRei	1203	1151	35.09
PLE/Chlamys	DF003447547	89	89	29.41
PLE/Chlamys	DF003450148	274	253	21.59
PLE/Chlamys	Pcap_297	34442	32410	5.53
PLE/Chlamys	Pcap_352	18542	18358	5.93
PLE/Naiad	Naiad-2_Chem	48	46	20.10
PLE/Naiad	Naiad-4_Dst	51	50	23.98
RC/Helitron	Helitron-1_AstCal	58	57	13.33
RC/Helitron	Helitron-N3_DR	29	29	32.41
RC/Helitron	Helitron-like-6a_Hmel	4948	4935	26.41
RC/Helitron	LasBor-5.1921	52	52	20.35
RC/Helitron	MurFea-1.336	56	56	23.50
RC/Helitron	MurFea-5.2046	287	279	53.85
RC/Helitron	Pcap_251	13571	13440	18.71
RC/Helitron	Pcap_252	160026	158001	20.97
RC/Helitron	Pcap_266	85452	84634	16.70
RC/Helitron	Pcap_289	70209	69546	14.70
RC/Helitron	Pcap_334	131964	130973	15.61
RC/Helitron	Pcap_339	53907	53032	20.13
RC/Helitron	Pcap_360	57276	56509	9.15
RC/Helitron	Pcap_412	57112	56263	23.09
RC/Helitron	Pcap_468	85062	83925	19.32
RC/Helitron	SE14017_novo-B-R52-Map10	285	276	22.00
RC/Helitron	TE1050_SO2_FAM2024	594	254	5.01
Retroposon/RTE-derived	EleEdw-1.25601	48	48	19.89
Retroposon/SVA	SVA_F	88	82	32.41
SINE/Alu	Pcap_229	79734	76323	13.03
SINE/Alu	Pcap_454	87631	86582	8.00
SINE/Alu	Pman_ALU_6.15393	422	422	32.89
SINE/Alu	Pman_ALU_6.2822	7043	6934	35.71
SINE/Alu	Pman_ALU_6.3823	230	226	31.80
SINE/Alu	Pman_ALU_6.4482	165	165	36.93
SINE/B2	Pman_B2_6.3731	49	49	19.13
SINE/tRNA	DesRot-1.3	17	17	32.91
SINE/tRNA	GalVar-1.2	598	598	21.69
SINE/tRNA	HipArm-1.3	176	176	27.03
SINE/tRNA	HipArm-1.36	50	50	18.27
SINE/tRNA	HipArm-1.9	10	7	32.08
SINE/tRNA	HipGal-1.0	80	80	25.38
SINE/tRNA	MirAng-1.20	9	9	16.86
SINE/tRNA	PanHod-1.113	69	65	23.35
SINE/tRNA	PonBla-1.87	17	12	25.56
SINE/tRNA	RhiSin-1.15	16	16	22.21
SINE/tRNA	SINE_M.yessoensis_cons_9	1103	1088	25.69
SINE/tRNA	TraJav-1.25	65	65	21.63
SINE/tRNA	TraJav-1.31	116	116	22.34
SINE/tRNA	VulLag-1.74	47	46	17.01
SINE/tRNA-CR1	TguSINE1_Ucy	5410	5408	18.89
SINE/tRNA-Meta	SINE_S.broughtonii_cons_20	14	13	29.75
SINE/tRNA-Meta	SINE_T.granosa_cons_7_sub3	13	13	28.84
SINE/tRNA-RTE	MamSINE1	208	207	26.36
SINE/tRNA-RTE	ProCap-1.63	1032	976	31.72
Satellite	DF003448053	198	182	32.11
Satellite	DF003448417	2404	2237	34.07
Satellite	DF003449376	160	157	26.94
Satellite	DF003449398	48	46	17.39
Satellite	DF003449543	18	17	36.08
Satellite	DF003449616	6187	5993	26.67
Satellite	DF003449618	2831	2817	17.61
Satellite	DF003450207	897	745	35.61
Satellite	MMSAT4	171	155	34.90
Satellite	Pcap_496	80064	79202	4.84
Satellite	tRNA-1_DRe	10215	10204	12.92
Satellite	tRNA-3_DRe	21223	20641	17.08
Simple_repeat	combined	345267	337932	----
Unknown	Acol_CACTA_Ele8	62	62	21.13
Unknown	Acol_Jockey_Ele1	15094	13704	38.45
Unknown	Acol_Pao_Bel_Ele10	73	70	27.92
Unknown	Acol_Pao_Bel_Ele14	55	53	14.80
Unknown	Acol_Pao_Bel_Ele17	84	84	33.39
Unknown	Acol_Pao_Bel_Ele47	58	58	34.38
Unknown	Acol_Pao_Bel_Ele62	74	74	26.73
Unknown	Acol_Pao_Bel_Ele65	174	170	27.52
Unknown	Acol_Pao_Bel_Ele71	42	42	17.05
