,chr,start,end,zoospore,germinating cyst,mycelia_48h,mycelia_96,Early infection,Late infection,compartment
g3898,HiC_scaffold_1,9792044,9793412,17.83991943,8.53250928,38.17801241,36.10407684,31.00116742,68.78082209,A
g3899,HiC_scaffold_1,9794667,9795957,14.72033139,1.427290296,1.878012397,2.60016821,2.927851505,28.47186558,A
g3900,HiC_scaffold_1,9796108,9797519,7.327434347,7.121005451,5.388504204,27.10483507,25.91418188,22.27520208,A
g3901,HiC_scaffold_1,9797723,9798038,282.4709195,1873.654438,1731.072384,934.9349196,949.5200579,465.5968591,A
g3902,HiC_scaffold_1,9798410,9798971,11.79621871,125.4408392,487.4372819,152.7341135,133.8661323,102.1761943,A
g3903,HiC_scaffold_1,9799237,9801682,5.361674299,2.802160291,2.472211143,5.825845555,5.294103202,8.334930684,A
g3904,HiC_scaffold_1,9801785,9805265,2.584790803,0.584357031,0.507039704,1.844730417,0.908413438,5.186303064,A
g3905,HiC_scaffold_1,9805291,9806094,6.835500363,4.036723651,2.76034949,15.82199618,10.25608599,11.93611202,A
g3906,HiC_scaffold_1,9806244,9807761,5.321570494,0.880259752,0.640331123,3.782974294,2.000362669,2.845402734,A
g3907,HiC_scaffold_1,9807939,9809436,44.81857178,11.09050571,8.137058051,8.070559615,6.34832543,7.083909544,A
g3908,HiC_scaffold_1,9809485,9813931,13.84306886,10.12712896,6.032411544,10.35834063,9.290474056,8.822617605,A
g3909,HiC_scaffold_1,9814054,9816540,1.976889818,0.034959684,3.706258516,2.185305048,2.95958825,1.748216093,A
g3910,HiC_scaffold_1,9816581,9817958,26.36558161,9.216648165,4.221431449,19.12551219,16.06823149,12.25634944,A
g3911,HiC_scaffold_1,9818092,9819160,1.752676492,12.68209812,10.67583407,28.05694161,21.51957333,21.0514047,A
g3912,HiC_scaffold_1,9819430,9820198,20.54042118,17.60584597,56.59325326,54.2390283,37.9618088,88.57938112,A
g3913,HiC_scaffold_1,9821682,9823212,2.505130432,0.090728974,0.346186722,2.273572948,1.326541783,4.51075822,A
g3914,HiC_scaffold_1,9823828,9825611,1.348608674,0.842518129,4.050464271,12.36176766,6.317241876,9.919823655,A
g3915,HiC_scaffold_1,9825738,9827055,0.770227981,0.324665105,1.230360989,4.201359008,2.338655714,1.111632787,A
g3916,HiC_scaffold_1,9827319,9827952,6.749412145,6.999663482,5.162408224,10.17385988,9.981575902,7.526271958,A
g3917,HiC_scaffold_1,9828253,9829366,2.727070867,15.86985144,19.62438827,16.08646372,15.68539065,12.06768565,A
g3918,HiC_scaffold_1,9829734,9830572,2.796864227,4.81867635,2.842337791,5.442078404,3.023128902,4.030501731,A
g3919,HiC_scaffold_1,9830660,9831869,15.04971692,4.792829792,5.055797912,6.264023108,3.830621216,5.049263891,A
g3920,HiC_scaffold_1,9831965,9833551,2.822533445,3.553246404,3.63241078,6.955671147,5.216757792,5.532931189,A
g3921,HiC_scaffold_1,9833624,9834236,2.536241433,4.353388887,4.074752317,8.243049429,6.646297384,9.195132512,A
g3922,HiC_scaffold_1,9834253,9836369,5.01618434,34.47427414,22.62214351,50.83694236,46.4098413,45.76927818,A
g3923,HiC_scaffold_1,9836516,9838566,6.088688146,3.172572183,9.231996878,13.553183,14.69735685,6.247111335,A
g3924,HiC_scaffold_1,9838815,9842027,0.880908446,0.685781018,1.062812244,0.812620688,0.565974175,0.222557007,A
g3925,HiC_scaffold_1,9842061,9844449,2.90162438,0.974126763,2.192883415,2.819767417,1.751605975,2.438506145,A
g3926,HiC_scaffold_1,9844507,9845025,3.856030071,15.07023388,21.77287067,24.93513425,23.89090843,25.77765539,A
g3927,HiC_scaffold_1,9845404,9847183,7.650365132,6.026127896,4.306369839,3.728122319,3.666734678,6.206812429,A
g3928,HiC_scaffold_1,9848463,9849396,2277.657134,4499.536243,1407.422102,2015.983273,1954.778286,1165.105104,A
g3929,HiC_scaffold_1,9849758,9852922,3.828222187,0.170368739,0.038130258,0.534848197,0.342722212,0.207669295,A
g3930,HiC_scaffold_1,9852953,9854555,8.905169835,0.140419576,0.02512742,0.477931529,0.413129797,0.111215689,A
g3931,HiC_scaffold_1,9854592,9855132,73.77179825,0.151909491,0,0.372151698,0.050929053,0,A
g3932,HiC_scaffold_1,9855360,9856216,1.336478821,0.10785423,0.966424511,0.623174831,0.257572835,0.432638498,A
g3933,HiC_scaffold_1,9856345,9857639,56.79180711,6.550352877,41.6438626,25.54433568,22.04736952,27.60538794,A
g3934,HiC_scaffold_1,9857779,9862372,3.243220121,0.064868096,0.643023105,1.651393201,0.555133259,1.748316082,A
g3935,HiC_scaffold_1,9862554,9864523,73.17106941,51.16374594,12.84749612,84.31271932,81.82779196,30.21556,A
g3936,HiC_scaffold_1,9864672,9865617,4.958490626,0.191661507,0.22028443,0.23781594,0.041178234,1.818552624,A
g3937,HiC_scaffold_1,9865773,9867021,18.06810509,7.009049109,9.513917039,8.436400103,6.255595455,6.89224465,A
g3938,HiC_scaffold_1,9868924,9869879,0.170583705,0,0,0.491053176,0.464092452,0.301322105,A
g3940,HiC_scaffold_1,9871378,9873106,0.567459324,0,0,0.232594811,0.031214187,0,A
g3941,HiC_scaffold_1,9873149,9874720,13.28130103,7.606245668,2.985592016,23.11255477,14.84375266,14.68353186,A
g3942,HiC_scaffold_1,9874817,9875990,3.865746307,9.035667721,7.644674411,20.46757443,12.42981968,12.2571374,A
g3943,HiC_scaffold_1,9876119,9877332,38.28096641,163.118584,163.5286728,145.4618108,87.98777013,69.18227438,A
g3944,HiC_scaffold_1,9878390,9879818,10.8431568,9.801518506,13.22406116,19.62284989,14.03916987,15.09113192,A
g3945,HiC_scaffold_1,9879988,9880874,5.954508171,8.489772448,5.253918898,29.55553326,23.4867058,26.13418829,A
g3946,HiC_scaffold_1,9880956,9881388,1.74540824,2.151774552,5.672617686,1.871627355,1.919251336,2.823458297,A
g3947,HiC_scaffold_1,9882465,9883785,1.797396361,0.694094691,1.47452546,2.14988282,2.257686254,3.161806562,A
g3948,HiC_scaffold_1,9884704,9886297,4.649799738,0.631563841,6.974000941,2.195545588,3.790921752,3.697286329,A
g3949,HiC_scaffold_1,9886596,9889268,32.7770505,5.575677115,24.70539678,22.43821465,19.35589522,30.59072733,A
g3950,HiC_scaffold_1,9889430,9890729,110.4658141,47.75476177,9.162624654,49.67786288,37.24817879,24.35214604,A
g3951,HiC_scaffold_1,9890920,9892393,26.79064735,6.96375764,9.329496113,14.12317079,8.876445395,12.7912371,B
g3952,HiC_scaffold_1,9892658,9893504,3360.760824,4502.663303,3406.135308,3956.871983,4070.743602,3925.422866,B
g3953,HiC_scaffold_1,9893926,9894997,1.733597388,7.071080489,13.29581126,35.5441414,19.68079987,25.89722213,B
g3954,HiC_scaffold_1,9895136,9899287,10.25452896,16.64020224,20.41998665,28.16423399,16.78739095,21.19034313,B
g3955,HiC_scaffold_1,9899468,9900586,1.485864102,1.147701947,5.545544947,11.96607074,12.14231655,14.71622993,B
g3956,HiC_scaffold_1,9900703,9902677,1.877496871,1.035219873,4.227802428,5.553850733,4.710567892,5.702954535,B
g3957,HiC_scaffold_1,9902786,9904483,1.171070375,39.55258807,20.796797,17.16521416,11.97419261,6.837253086,B
g3958,HiC_scaffold_1,9904654,9905752,0.517418581,0,3.433297677,0.980483079,0.345808132,0.48409125,B
g3959,HiC_scaffold_1,9906175,9907910,8.071116158,2.36116645,1.295565697,5.007837241,3.748277483,2.969805036,B
g3960,HiC_scaffold_1,9908135,9910004,9.025939729,6.467707251,2.74205896,5.042269702,5.093854891,4.118569604,B
g3961,HiC_scaffold_1,9910053,9910275,17.57626762,33.95276311,16.82977594,3.452790101,4.601929718,0.718286746,A
g3962,HiC_scaffold_1,9910431,9912015,18.07319504,75.92402499,31.71638325,67.59892606,61.65088447,50.75542947,A
g3963,HiC_scaffold_1,9912463,9916757,1.452610885,1.019249878,0.46836494,1.853503316,0.983232784,1.34938763,A
g3964,HiC_scaffold_1,9919044,9920972,0.32771359,0.064567054,0.458051056,1.231873391,0.737997477,0.427631925,A
g3965,HiC_scaffold_1,9921145,9922199,2.373950047,4.611016526,2.836912964,9.376384127,5.831632114,4.924304609,B
g3966,HiC_scaffold_1,9923080,9924880,0.105208445,0.022786424,0.178003913,0.800647772,0.254411859,0.295123437,B
g3967,HiC_scaffold_1,9927601,9932307,16.55256323,38.49129638,116.5422234,153.78469,111.9280461,169.9862368,B
g3968,HiC_scaffold_1,9932509,9933768,6.547595038,6.151888053,6.104009531,14.5249738,9.524287576,14.35461663,A
g3969,HiC_scaffold_1,9933855,9934903,7.299846622,16.43115279,13.0611751,26.2888441,21.84891489,29.67193042,A
g3970,HiC_scaffold_1,9935155,9935716,22.82519044,2.149095328,9.709304344,10.81121164,6.44370582,11.25834741,A
g3971,HiC_scaffold_1,9936257,9937973,255.5647903,51.23076754,91.10549985,39.49256435,29.28167414,61.83734276,A
g3972,HiC_scaffold_1,9940776,9941462,13.19499187,4.566218454,6.458827528,19.52193639,14.02657548,26.15566389,B
g3973,HiC_scaffold_1,9941591,9942182,24.66660334,36.34636739,31.59469929,33.83343317,23.89058313,30.01900265,B
g3974,HiC_scaffold_1,9942435,9943927,47.37602766,27.99995489,6.145355768,26.52560317,17.89759609,13.52470879,B
g3975,HiC_scaffold_1,9944367,9944668,87.05165412,323.3501621,192.6922864,94.83689536,79.62620278,51.22021013,B
g3976,HiC_scaffold_1,9944687,9946031,211.6126771,498.4818412,423.1843899,174.2641968,192.5592303,144.4865185,B
g3977,HiC_scaffold_1,9946744,9957038,4.52316827,0.545831804,4.092359616,9.104583255,5.325962305,22.72452542,B
g3978,HiC_scaffold_1,9957143,9957992,9.378950636,1.546338584,4.666578505,3.11574479,1.252273609,3.686864508,B
g3979,HiC_scaffold_1,9958106,9959553,10.08406313,1.619856713,5.373936665,3.057456615,1.402565668,2.864910939,B
g3980,HiC_scaffold_1,9959623,9960173,256.2375539,40.16457276,56.46171798,27.93217697,31.031089,31.69569759,B
g3981,HiC_scaffold_1,9960360,9962125,72.9358116,19.2910764,6.441203119,36.70020838,25.09618923,20.33162664,B
g3982,HiC_scaffold_1,9962267,9962642,2.904530156,0,1.02180303,0.659157909,0.176292876,1.530285108,B
g3983,HiC_scaffold_1,9962758,9963421,0,0,0.186646788,0.331202406,0.352526657,0.556411717,B
g3984,HiC_scaffold_1,9963782,9965765,0.766630494,0.039976227,0.322749288,0.563302531,0.12213257,0.16051402,B
g3985,HiC_scaffold_1,9965834,9966377,10.38157757,22.48472819,18.94359621,31.37693237,24.3695869,20.05523176,B
g3986,HiC_scaffold_1,9966492,9969136,11.51606182,14.33015634,21.22793511,21.92902684,15.70016438,20.60126192,B
g3987,HiC_scaffold_1,9969392,9971807,32.22494775,26.13045667,25.6971186,25.46181101,18.43227666,21.56485993,B
g3988,HiC_scaffold_1,9972441,9974148,19.06427208,35.85995699,66.37481834,76.79165801,46.7703164,75.71273467,B
g3989,HiC_scaffold_1,9975155,9975689,34.16366159,156.6952892,90.06615433,200.491042,183.5422997,357.9827145,B
g3990,HiC_scaffold_1,9977840,9981010,22.35541379,21.14898976,17.72136702,28.38581928,19.38327782,24.53711283,B
g3991,HiC_scaffold_1,9981180,9981737,20.57404638,12.70553254,8.779584142,23.63412131,9.219004085,14.00190395,B
g3992,HiC_scaffold_1,9981785,9982779,34.58751849,29.45694168,6.600776237,40.32401095,21.72271182,25.1145412,B
g3993,HiC_scaffold_1,9982905,9984388,11.53735517,6.81492612,2.001325658,37.34202846,13.0970432,17.27139736,B
g3994,HiC_scaffold_1,9984458,9986024,50.17986818,20.22434525,5.994392462,58.9488097,23.64762218,32.33692482,B
g3995,HiC_scaffold_1,9986232,9992225,0.384223382,0.203300352,0.102480372,3.62408937,1.266318077,2.137528902,B
g3996,HiC_scaffold_1,9993706,9996091,6.604047113,2.517294101,6.945630178,7.647828609,3.285874412,3.849969245,B
g3997,HiC_scaffold_1,9996266,9997208,11.25364681,40.76190172,55.21179837,46.80609098,34.15677651,27.95763924,B
g3998,HiC_scaffold_1,9997410,9998067,22.77554611,44.05122206,44.47242393,94.75347917,53.43182781,46.21560209,B
g3999,HiC_scaffold_1,9998857,9999233,15.49637706,2.217141122,3.436865829,2.197067739,1.989810747,1.530285108,B
g4000,HiC_scaffold_1,9999298,10001618,13.48843437,10.29986571,12.54423991,14.83975035,13.97878767,8.081517793,B
g4001,HiC_scaffold_1,10001974,10002863,30.80794459,146.1403196,78.6063763,179.1862209,503.9063318,73.51113759,B
g4002,HiC_scaffold_1,10002933,10003545,19.53817396,9.986311526,4.869777644,10.23628072,11.31883043,9.800561437,B
g4003,HiC_scaffold_1,10003595,10003859,12.75792052,7.181861273,5.393382675,11.85062506,12.33458996,6.233256633,B
g4004,HiC_scaffold_1,10004311,10006312,9.754900762,6.863690998,15.32403549,34.29045732,24.00926187,22.60232238,B
g4005,HiC_scaffold_1,10007156,10010489,23.05762938,34.01176746,47.8377986,30.82150038,24.81805978,35.04888995,B
g4006,HiC_scaffold_1,10011796,10012723,25.77609714,0.650292599,0.499928959,2.352835387,0.903601592,0.973424705,B
g4007,HiC_scaffold_1,10012785,10013393,25.25772897,18.02835508,19.48984174,31.28690019,23.5296928,26.38399957,B
g4008,HiC_scaffold_1,10013671,10015267,17.62328256,68.71514767,27.61262189,87.95086328,63.82405939,45.18145139,B
g4009,HiC_scaffold_1,10015453,10016786,13.93383397,5.389491739,3.449425194,15.3032976,11.95538308,15.26933356,B
g4010,HiC_scaffold_1,10017773,10019553,56.01663348,31.39248123,44.23499591,10.78283242,5.685864249,6.790725207,B
g4011,HiC_scaffold_1,10019723,10022469,7.563540965,8.185514387,9.74818202,11.58786137,7.931479584,10.6041558,B
g4015,HiC_scaffold_1,10032496,10033030,12.52968539,10.6181749,2.673903129,118.3279015,77.92554905,24.32930351,B
g4016,HiC_scaffold_1,10033529,10035213,54.05350088,19.45891701,15.76401174,4.912713579,7.361899925,6.809100387,B
g4017,HiC_scaffold_10,120,2035,3.019190274,0.051812326,0.416735354,1.804393426,1.653441236,3.052721014,A
g4018,HiC_scaffold_10,4922,5232,6.321924102,3.097345184,3.523588696,46.08108655,45.35846141,74.09030338,A
g4019,HiC_scaffold_10,7880,9956,6.341462384,2.854374486,0.787401308,0.12324555,0,0.015460506,A
g4020,HiC_scaffold_10,11100,11943,5.691211733,0.525381244,0.843563777,3.703523139,1.885618622,3.965317544,A
g4021,HiC_scaffold_10,12507,13173,667.8987274,0.089271237,0.079178128,0.224545946,0.06194074,0.119714458,A
g4023,HiC_scaffold_10,14335,16207,0.20418528,0,0,0.841379498,0.172878574,0.25521312,A
g4024,HiC_scaffold_10,16367,16919,0.548282385,0,0,0.790288288,0.536461959,0.288876191,A
g4025,HiC_scaffold_10,17145,17988,6.912971417,0.760472759,1.430251783,1.909107618,2.072514583,2.518420765,A
g4026,HiC_scaffold_10,18395,19061,691.7839605,0.18164863,0.404924974,0.231596022,0.059541501,0.359143373,A
g4027,HiC_scaffold_10,19508,22079,2.051008146,0.026807557,0,0.198555915,0.058524033,0.057833571,A
g4028,HiC_scaffold_10,22241,23084,6.476082838,0.332400085,0.842612118,3.165755463,2.425055821,4.973053592,A
g4029,HiC_scaffold_10,24626,27204,0.317552303,0.016353893,0,0.596953104,0.075484862,0.147983459,A
g4030,HiC_scaffold_10,27364,27916,0.554594782,0,0.063686755,0.874924096,0.19349813,0.864943757,A
g4031,HiC_scaffold_10,28332,28755,100.7067773,29.40420107,34.41226169,5.642678351,4.152995637,6.276290553,A
g4032,HiC_scaffold_10,29295,30138,6.427847258,0.61941785,1.09758457,1.356487112,1.183063459,1.511420201,A
g4033,HiC_scaffold_10,31245,32088,1.064991265,0.033674518,0.029521624,0.602437781,0.287409783,0.827882704,A
g4058,HiC_scaffold_10,91265,91820,0.070126798,0.219220819,0.128130498,1.058291625,0.922305335,1.434339212,A
g4059,HiC_scaffold_10,94995,95376,1.193829202,0,0.186646788,5.54571361,10.11576692,12.67911502,A
g4060,HiC_scaffold_10,96245,96587,2.447613363,0.951363257,1.142448014,8.536332459,0.946282719,1.552374794,A
g4061,HiC_scaffold_10,96720,98493,14.12323211,3.382318536,5.325837554,4.818913007,3.188406418,3.652923056,A
g4062,HiC_scaffold_10,99215,99818,3.219541438,2.538986257,2.491186887,5.802962704,3.627125724,8.010668018,A
g4063,HiC_scaffold_10,101856,103638,67.31810026,5.144193726,20.99842244,26.10319699,26.83450873,74.72821599,A
g4064,HiC_scaffold_10,103853,104672,2.130695239,2.990894084,11.21537592,12.79192438,12.17105467,10.30095427,A
g4065,HiC_scaffold_10,104818,105751,0.862949929,0.216848388,3.462380262,0.636240428,0.410389192,0.454764989,A
g4066,HiC_scaffold_10,106451,107262,13.47137013,9.972526756,1.10309282,0.311176609,0.288288712,0.14346348,A
g4067,HiC_scaffold_10,107274,108411,1.343181316,1.552057951,0.626850274,0.045219276,0.116255173,0.046748654,A
g4068,HiC_scaffold_10,109387,113350,0.701639406,0.006020191,0.052659787,0.430345903,1.406969107,0.202481087,A
g4074,HiC_scaffold_10,132123,133650,0,0,0.023022324,0,0,0,A
g4075,HiC_scaffold_10,133791,137777,0.052024491,0,0.036467934,0.079189748,0.103500272,0.036758796,A
g4076,HiC_scaffold_10,138510,139020,1.041073432,2.621497971,2.237270232,0.956183239,1.155016109,0.519894281,A
g4077,HiC_scaffold_10,139615,140393,12.72761734,11.62227735,17.43707555,22.33447684,17.82409698,24.23314361,A
g4078,HiC_scaffold_10,140552,141318,2.994461656,52.58424548,68.270927,39.87054005,30.46458725,26.67220113,A
g4079,HiC_scaffold_10,142819,143887,0.039093745,0,0,1.104185808,1.213260283,0.893292837,A
g4080,HiC_scaffold_10,146127,146517,0,0.105168109,0.184396603,0.131831582,0.141034301,0.68065664,A
g4081,HiC_scaffold_10,147379,149680,26.76152452,40.47569267,48.14144928,17.89808551,53.87977556,27.82295988,A
g4082,HiC_scaffold_10,149819,151064,0.918249068,0.614862937,1.175760328,3.817865135,3.781847233,4.304309191,A
g4083,HiC_scaffold_10,151130,154460,4.783123044,1.532781478,2.860617461,5.829863172,6.054336931,5.117169044,A
g4084,HiC_scaffold_10,154926,155346,0.181186963,0,0.085612709,0,0.256848166,0.883672656,A
g4086,HiC_scaffold_10,164112,164902,0,0.110633734,0.145771626,2.908629158,2.437259269,2.111486026,A
g4094,HiC_scaffold_10,191093,191513,0.539412743,0.576085656,0.083702592,2.949140371,2.709587442,0.885148877,A
g4095,HiC_scaffold_10,192467,194687,41.2986967,41.0745827,39.08962379,15.59645915,18.26154823,7.244921161,A
g4096,HiC_scaffold_10,195323,196375,0.042440812,0,5.429054447,0.762997853,0.48650526,1.635806934,A
g4097,HiC_scaffold_10,196546,197613,5.284434601,0.174720181,0.226341885,6.339709977,1.955299716,7.910671369,A
g4098,HiC_scaffold_10,197827,202144,2.646311846,0.033460979,0.024116256,3.066070755,1.727572975,3.549683717,A
g4099,HiC_scaffold_10,202538,203813,873.644034,304.2097476,68.88075408,160.1063065,154.0091988,138.2849795,A
g4100,HiC_scaffold_10,203932,207883,10.47231061,8.577233265,11.91567528,9.514940895,8.248801398,11.44454856,A
g4101,HiC_scaffold_10,208242,209573,3.059237169,0.406441444,0.863929068,2.523631028,1.858391583,2.179771946,A
g4102,HiC_scaffold_10,209834,211150,0.923679151,0.034524884,0.030267119,3.471268204,2.421409445,4.241334682,A
g4103,HiC_scaffold_10,217038,217650,62.08380015,0.529390687,12.01152637,0.537116259,0.354277324,0.173703331,A
g4105,HiC_scaffold_10,221366,222500,0.607334185,0.198754118,0.211016102,3.203859509,4.476236741,3.675336541,A
g4106,HiC_scaffold_10,223179,223800,394.2919568,696.5433296,905.141183,584.9033964,554.63585,529.0650359,A
g4107,HiC_scaffold_10,224264,224883,12.30691656,0.435697103,0.259061663,1.838806802,0.497060768,1.256378551,A
g4108,HiC_scaffold_10,224987,226616,53.10936154,16.1335275,23.96861707,20.19024189,16.63988385,23.03945672,A
g4109,HiC_scaffold_10,227368,227977,54.37033993,1.12002315,1.933936626,1.493935196,1.7244587,2.264685783,A
g4110,HiC_scaffold_10,229534,230291,86.6933935,38.64966993,47.49086214,61.76892709,68.71323724,71.96993848,A
g4111,HiC_scaffold_10,230388,231447,11.48489367,39.35756741,38.81737651,125.0956666,88.69452704,81.6289554,A
g4112,HiC_scaffold_10,231562,233547,15.01932539,8.929222373,6.16092043,9.545207813,8.60631548,8.886640294,A
g4113,HiC_scaffold_10,233606,234661,10.57599637,4.385268921,4.133913777,6.153110555,5.856378512,5.629947338,A
g4114,HiC_scaffold_10,234852,237288,8.472727073,2.213165542,3.176091077,4.913708258,4.094098915,5.033137634,A
g4115,HiC_scaffold_10,239168,240584,41.60695901,117.0133001,113.0608073,58.72490965,71.01971841,71.58583077,A
g4116,HiC_scaffold_10,240756,242729,1.157553049,0.042204077,1.596344372,13.08014775,13.98590462,17.60623228,A
g4117,HiC_scaffold_10,243044,245054,12.4602776,7.322028982,14.55606603,10.57106821,9.652608185,16.48032235,A
g4128,HiC_scaffold_10,282128,283400,0.624747605,0.031160715,0.167717987,0.27924911,0.231966776,0.083574244,A
g4130,HiC_scaffold_10,286294,292669,0.131580548,0,0.005640367,0.024194973,0.042304404,0.00833776,A
g4132,HiC_scaffold_10,295024,296104,288.9510193,310.8872017,105.9190136,40.67351188,276.4880695,96.68676077,A
g4133,HiC_scaffold_10,296198,296717,0.648064711,0,0.138563922,1.945322169,0.788688907,1.022354861,A
g4134,HiC_scaffold_10,298167,299802,19.33840124,41.04256211,94.99097378,110.0205188,113.6643734,113.0548456,A
g4135,HiC_scaffold_10,299860,307221,1.786770647,0.510653004,0.919770147,3.219741543,2.319192235,2.797420781,A
g4136,HiC_scaffold_10,307394,308216,1.92080849,0,0.04374372,1.135238464,0.425869971,0.580838143,A
g4137,HiC_scaffold_10,309097,310099,3.868061964,3.842922769,1.421011004,0.174123952,0.108724044,0.158831987,A
g4138,HiC_scaffold_10,310947,312042,3.869951274,0.576890486,2.608619345,3.675867155,3.040402426,4.453154173,A
g4139,HiC_scaffold_10,313963,316688,2.786560077,4.06580566,6.514315009,0.015068098,0,0,A
g4141,HiC_scaffold_10,319162,320017,0.664474388,0.046358397,0.291572651,13.10676828,10.82975608,14.59014758,A
g4142,HiC_scaffold_10,320288,321368,570.4078164,548.0576394,226.4102129,92.48393163,711.7025082,199.0310587,A
g4143,HiC_scaffold_10,323140,323629,0.774540698,0,0.287567188,2.246144758,0.384970902,1.193773808,A
g4144,HiC_scaffold_10,323813,324425,0.607486136,0.985002025,1.222032436,2.403053381,3.476948342,1.994042479,A
g4149,HiC_scaffold_10,329803,330571,0.652002845,2.063068325,0.09154971,0.032453906,0,0,A
g4150,HiC_scaffold_10,330699,331233,0,0,0.067335838,0,0,0,A
g4155,HiC_scaffold_10,341626,344616,0.111383162,2.082240694,0.243155354,1.376408714,0.674905986,1.512933431,A
g4161,HiC_scaffold_10,353394,355141,1.333925051,2.497294312,0.384241836,0,0,0,A
g4162,HiC_scaffold_10,355502,357107,6.759513446,76.47525665,58.52429458,5.302990559,8.655945807,8.037452921,A
g4165,HiC_scaffold_10,365979,367711,2.04511644,0.619452572,1.251651731,38.61310846,17.40118103,34.91272461,A
g4166,HiC_scaffold_10,367882,368938,19.37398801,0.34172847,3.740101835,12.28188732,13.06481018,9.552984302,A
g4167,HiC_scaffold_10,369222,373056,7.877371915,13.17985455,10.1959853,16.51124029,14.44045548,18.59558987,A
g4168,HiC_scaffold_10,373177,379510,15.93769156,19.79571998,21.20612638,16.56950383,17.48575079,22.01845144,A
g4169,HiC_scaffold_10,379941,382922,8.631551433,3.988702962,7.229423115,8.128865553,5.487585556,6.96969083,A
g4170,HiC_scaffold_10,383466,387006,3.63607217,6.841046686,11.02573308,10.61777378,6.521878135,8.921597327,A
g4171,HiC_scaffold_10,387218,391108,0.696521231,0.322960151,0.345848807,0.035234348,0.009198478,0,A
g4172,HiC_scaffold_10,391273,395395,1.092756483,0.545177756,14.20463043,1.491784804,0.949597708,2.459336381,A
g4173,HiC_scaffold_10,396280,396928,2.8238411,13.62762893,20.97400358,9.824050296,7.596013691,7.620338394,A
g4174,HiC_scaffold_10,397154,398039,19.33920807,16.91630459,21.19506847,21.40682644,17.69006397,13.73380434,A
g4175,HiC_scaffold_10,398146,399136,3.76473281,0.77184366,0.932178834,4.170264624,3.418437205,3.270713417,A
g4176,HiC_scaffold_10,399292,399946,5.811697685,3.542571307,3.260811229,9.631554092,6.661161002,6.897864668,A
g4177,HiC_scaffold_10,401348,402432,34.43130004,11.68205182,12.73760755,19.95456613,14.6013134,22.29254067,A
g4178,HiC_scaffold_10,403340,403865,20.76435376,23.94745759,5.160937989,24.51922889,39.62637848,35.2604242,A
g4179,HiC_scaffold_10,404667,407541,0.290654679,0.028542493,0.049765867,0.416318048,0.227064611,0.332253969,A
g4180,HiC_scaffold_10,407655,408114,6.384889557,0,0,0.108603921,0.232703633,0,A
g4181,HiC_scaffold_10,408139,410567,31.8877925,0.419358792,2.127898257,10.27516072,12.0141287,8.756231334,A
g4182,HiC_scaffold_10,411154,412168,12.91571882,17.83837506,34.07397658,19.65399669,34.01645053,52.9490195,A
g4183,HiC_scaffold_10,413786,415676,0.714607939,0,0.037201152,3.654046768,0.528247491,1.376570203,A
g4184,HiC_scaffold_10,416872,417355,0.923680783,0,0.148891667,34.4063972,5.334247416,15.8251001,A
g4185,HiC_scaffold_10,418423,420187,0.286435914,0,0.024311956,14.68973174,11.2350139,11.81703735,A
g4186,HiC_scaffold_10,420914,422285,7.049266883,0.676009001,3.144805004,1.151125203,0.802241002,1.083289624,A
g4187,HiC_scaffold_10,422497,424175,10.37819466,0.887300362,21.03214558,40.79684467,48.54675605,57.23211644,A
g4188,HiC_scaffold_10,424444,425755,0.116092333,0.58706465,0.735032705,0.236499633,0.289624202,0.729319553,A
g4189,HiC_scaffold_10,426577,428074,0.125339331,0.052954481,0.142509873,1.399776925,1.283588614,2.233802749,A
g4190,HiC_scaffold_10,428621,430316,0.562740348,0,0.021213769,0.256444848,0.031193423,0.125252431,A
g4191,HiC_scaffold_10,431693,433190,0.151338245,14.01185791,5.661466083,0.256018504,0.609677291,0.14202597,A
g4192,HiC_scaffold_10,433268,434012,1.505349074,1.563505085,0.047251463,0.82295222,0.250161622,0.142468323,A
g4193,HiC_scaffold_10,434090,434402,0.243905527,1.033999896,0.112676566,0.494368432,1.115174973,0.339732154,A
g4194,HiC_scaffold_10,435141,436146,266.6361585,1105.112875,172.8596579,34.07426545,125.3685855,24.34224203,A
g4195,HiC_scaffold_10,438721,440209,145.560365,37.03452728,56.35115548,29.42519627,31.5181069,25.11588398,A
g4196,HiC_scaffold_10,440498,441500,35.06998843,22.23305396,55.06909347,50.48473301,44.57886317,40.05226814,A
g4197,HiC_scaffold_10,441680,442520,0.139001332,0.237572952,2.286711622,0.638020875,0.163700528,0.568391612,A
g4198,HiC_scaffold_10,443153,443993,0.408707704,0.384057104,2.533044107,2.908149213,1.218760621,1.957547292,A
g4199,HiC_scaffold_10,444618,445461,3.659078977,0.479998924,1.641618557,1.563452948,1.763969845,5.475266777,A
g4200,HiC_scaffold_10,446204,447604,527.8835678,0.276525106,0.246137389,0.522877319,0.252889091,0.122191309,A
g4201,HiC_scaffold_10,447780,448623,6.176335893,0.525381244,0.548792285,2.217769324,1.382595984,3.461265649,A
g4202,HiC_scaffold_10,449099,449762,214.9884847,0.119566906,0.160282828,0.07518733,0.039873946,0,A
g4203,HiC_scaffold_10,450340,451183,1.553208673,0.095672588,0.340280489,2.49672537,1.568228289,2.330366627,A
g4204,HiC_scaffold_10,452452,453295,0.356950955,0.097308571,0.210415115,4.184014322,2.75381906,5.918840411,A
