chromosome	start	end	motif_id	sequence_name	strand	start.1	stop	anchor_annotation
HiC_scaffold_12	2115000	2120000	HSF_DNA-bind	94	+	3082	3095	TAD_123
HiC_scaffold_12	2130000	2140000	CG-1	95	-	5246	5255	TAD_123
HiC_scaffold_12	2130000	2140000	zf-C2H2	95	+	6507	6517	TAD_123
HiC_scaffold_12	2130000	2140000	bZIP_1	95	+	4051	4060	TAD_123
HiC_scaffold_12	2130000	2140000	HSF_DNA-bind	95	+	1621	1634	TAD_123
HiC_scaffold_12	2130000	2140000	Myb_DNA-binding	95	+	8151	8160	TAD_123
HiC_scaffold_12	2130000	2140000	Myb_DNA-binding	95	-	9299	9309	TAD_123
HiC_scaffold_12	2130000	2140000	CSD	95	+	3654	3663	TAD_123
HiC_scaffold_12	2130000	2140000	CSD	95	-	4404	4413	TAD_123
HiC_scaffold_12	2130000	2140000	CSD	95	-	5021	5030	TAD_123
HiC_scaffold_12	2130000	2140000	bZIP_1	95	+	1200	1209	TAD_123
HiC_scaffold_12	2130000	2140000	zf-C2H2	95	+	3555	3564	TAD_123
HiC_scaffold_12	2130000	2140000	zf-C2H2	95	-	3555	3564	TAD_123
HiC_scaffold_12	2130000	2140000	zf-C2H2	95	-	5034	5043	TAD_123
HiC_scaffold_12	2130000	2140000	zf-C2H2	95	-	5033	5043	TAD_123
HiC_scaffold_12	2130000	2140000	zf-C2H2	95	-	5033	5043	TAD_123
HiC_scaffold_12	2130000	2140000	Homeobox	95	+	1462	1471	TAD_123
HiC_scaffold_12	2130000	2140000	bZIP_1	95	-	1594	1604	TAD_123
HiC_scaffold_12	2130000	2140000	HLH	95	+	551	561	TAD_123
HiC_scaffold_12	2130000	2140000	zf-C2H2	95	-	3555	3564	TAD_123
HiC_scaffold_12	2130000	2140000	zf-C2H2	95	-	3360	3369	TAD_123
HiC_scaffold_12	2155000	2160000	Homeobox	96	-	1323	1332	TAD_123
HiC_scaffold_12	2155000	2160000	bZIP_1	96	+	1648	1657	TAD_123
HiC_scaffold_12	2155000	2160000	bZIP_1	96	+	1913	1922	TAD_123
HiC_scaffold_12	2155000	2160000	HSF_DNA-bind	96	+	1137	1150	TAD_123
HiC_scaffold_12	2155000	2160000	HLH	96	+	710	720	TAD_123
HiC_scaffold_12	2340000	2350000	CG-1	97	-	6919	6928	TAD_124
HiC_scaffold_12	2340000	2350000	Homeobox	97	-	6547	6557	TAD_124
HiC_scaffold_12	2340000	2350000	zf-C2H2	97	+	7732	7742	TAD_124
HiC_scaffold_12	2340000	2350000	zf-C2H2	97	+	7732	7745	TAD_124
HiC_scaffold_12	2340000	2350000	zf-C2H2	97	-	4288	4298	TAD_124
HiC_scaffold_12	2340000	2350000	zf-C2H2	97	+	9459	9468	TAD_124
HiC_scaffold_12	2340000	2350000	Myb_DNA-binding	97	-	3027	3037	TAD_124
HiC_scaffold_12	2340000	2350000	zf-C2H2	97	-	5108	5118	TAD_124
HiC_scaffold_12	2340000	2350000	HLH	97	+	5779	5788	TAD_124
HiC_scaffold_12	2340000	2350000	bZIP_1	97	-	4286	4296	TAD_124
HiC_scaffold_12	2340000	2350000	zf-C2H2	97	+	9806	9815	TAD_124
HiC_scaffold_12	2400000	2410000	zf-C2H2	98	-	7189	7199	TAD_124
HiC_scaffold_12	2400000	2410000	HSF_DNA-bind	98	-	3050	3063	TAD_124
HiC_scaffold_12	2400000	2410000	E2F_TDP	98	+	5277	5288	TAD_124
HiC_scaffold_12	2400000	2410000	HLH	98	-	800	809	TAD_124
HiC_scaffold_12	2400000	2410000	bZIP_1	98	-	2155	2166	TAD_124
HiC_scaffold_12	2400000	2410000	zf-C2H2	98	+	7957	7967	TAD_124
HiC_scaffold_12	2400000	2410000	bZIP_1	98	-	4146	4156	TAD_124
HiC_scaffold_12	2400000	2410000	AP2	98	-	2812	2820	TAD_124
HiC_scaffold_12	2470000	2480000	CG-1	99	+	3910	3919	TAD_124
HiC_scaffold_12	2470000	2480000	zf-C2H2	99	+	6969	6977	TAD_124
HiC_scaffold_12	2470000	2480000	zf-C2H2	99	-	9344	9354	TAD_124
HiC_scaffold_12	2470000	2480000	bZIP_1	99	-	3925	3934	TAD_124
HiC_scaffold_12	2470000	2480000	bZIP_1	99	+	8868	8877	TAD_124
HiC_scaffold_12	2470000	2480000	E2F_TDP	99	+	2414	2425	TAD_124
HiC_scaffold_12	2470000	2480000	CENP-B_N	99	-	2410	2420	TAD_124
HiC_scaffold_12	2470000	2480000	CENP-B_N	99	-	2664	2674	TAD_124
HiC_scaffold_12	2470000	2480000	CSD	99	+	5204	5213	TAD_124
HiC_scaffold_12	2470000	2480000	CSD	99	-	563	572	TAD_124
HiC_scaffold_12	2470000	2480000	CSD	99	-	7233	7242	TAD_124
HiC_scaffold_12	2470000	2480000	CSD	99	+	83	92	TAD_124
HiC_scaffold_12	2470000	2480000	HLH	99	+	5204	5213	TAD_124
HiC_scaffold_12	2470000	2480000	HLH	99	-	563	572	TAD_124
HiC_scaffold_12	2470000	2480000	bZIP_1	99	+	2510	2524	TAD_124
HiC_scaffold_12	2470000	2480000	CENP-B_N	99	-	4502	4511	TAD_124
HiC_scaffold_12	2470000	2480000	CENP-B_N	99	+	9944	9953	TAD_124
HiC_scaffold_12	2470000	2480000	zf-C2H2	99	-	6367	6376	TAD_124
HiC_scaffold_12	2560000	2570000	zf-C2H2	100	-	9073	9083	TAD_124
HiC_scaffold_12	2560000	2570000	HSF_DNA-bind	100	-	4941	4954	TAD_124
HiC_scaffold_12	2560000	2570000	E2F_TDP	100	+	7174	7185	TAD_124
HiC_scaffold_12	2560000	2570000	HLH	100	-	2730	2739	TAD_124
HiC_scaffold_12	2560000	2570000	bZIP_1	100	-	4050	4061	TAD_124
HiC_scaffold_12	2560000	2570000	CSD	100	+	764	773	TAD_124
HiC_scaffold_12	2560000	2570000	zf-C2H2	100	+	9838	9848	TAD_124
HiC_scaffold_12	2560000	2570000	bZIP_1	100	-	6042	6052	TAD_124
HiC_scaffold_12	2560000	2570000	zf-C2H2	100	-	884	893	TAD_124
HiC_scaffold_12	2560000	2570000	HSF_DNA-bind	100	+	1228	1241	TAD_124
HiC_scaffold_12	2560000	2570000	AP2	100	-	4706	4714	TAD_124
HiC_scaffold_12	2820000	2830000	HTH_psq	101	+	3566	3574	TAD_124
HiC_scaffold_12	2820000	2830000	HTH_psq	101	+	6743	6751	TAD_124
HiC_scaffold_12	2820000	2830000	CG-1	101	-	2241	2250	TAD_124
HiC_scaffold_12	2820000	2830000	Homeobox	101	+	3839	3849	TAD_124
HiC_scaffold_12	2820000	2830000	Homeobox	101	-	8480	8489	TAD_124
HiC_scaffold_12	2820000	2830000	zf-C2H2	101	-	6567	6577	TAD_124
HiC_scaffold_12	2820000	2830000	bZIP_1	101	+	6085	6094	TAD_124
HiC_scaffold_12	2820000	2830000	zf-C2H2	101	-	5154	5163	TAD_124
HiC_scaffold_12	2820000	2830000	bZIP_1	101	-	5031	5040	TAD_124
HiC_scaffold_12	2820000	2830000	HSF_DNA-bind	101	+	565	575	TAD_124
HiC_scaffold_12	2820000	2830000	HLH	101	-	1452	1461	TAD_124
HiC_scaffold_12	2820000	2830000	HTH_psq	101	+	6743	6752	TAD_124
HiC_scaffold_12	2820000	2830000	bZIP_1	101	-	2515	2529	TAD_124
HiC_scaffold_12	2820000	2830000	bZIP_1	101	+	5177	5191	TAD_124
HiC_scaffold_12	2820000	2830000	bZIP_1	101	-	5184	5198	TAD_124
HiC_scaffold_12	2820000	2830000	CENP-B_N	101	+	7167	7176	TAD_124
HiC_scaffold_12	2820000	2830000	HSF_DNA-bind	101	-	1069	1081	TAD_124
HiC_scaffold_12	3200000	3205000	CENP-B_N	102	-	3613	3623	TAD_125
HiC_scaffold_12	3200000	3205000	HSF_DNA-bind	102	+	1813	1822	TAD_125
HiC_scaffold_12	3285000	3290000	bZIP_1	103	-	3794	3803	TAD_125
HiC_scaffold_12	3285000	3290000	CENP-B_N	103	-	422	432	TAD_125
HiC_scaffold_12	3285000	3290000	bZIP_1	103	-	2751	2761	TAD_125
HiC_scaffold_13	1360000	1365000	bZIP_1	104	+	4270	4279	TAD_131
HiC_scaffold_13	1360000	1365000	zf-C2H2	104	+	1222	1232	TAD_131
HiC_scaffold_13	1360000	1365000	HLH	104	-	4592	4601	TAD_131
HiC_scaffold_13	1360000	1365000	BrkDBD	104	-	4664	4674	TAD_131
HiC_scaffold_13	1455000	1460000	Homeobox	105	-	4365	4374	TAD_131
HiC_scaffold_13	1455000	1460000	zf-C2H2	105	-	468	478	TAD_131
HiC_scaffold_13	1455000	1460000	zf-C2H2	105	+	1015	1024	TAD_131
HiC_scaffold_13	1465000	1470000	CG-1	106	+	3424	3433	TAD_131
HiC_scaffold_13	1465000	1470000	zf-C2H2	106	-	1659	1669	TAD_131
HiC_scaffold_13	1465000	1470000	E2F_TDP	106	+	1609	1620	TAD_131
HiC_scaffold_13	1465000	1470000	bZIP_1	106	+	4494	4503	TAD_131
HiC_scaffold_13	1465000	1470000	HSF_DNA-bind	106	+	2789	2801	TAD_131
HiC_scaffold_13	1640000	1645000	zf-C2H2	107	-	3494	3507	Boundary
HiC_scaffold_13	1640000	1645000	zf-C2H2	107	-	4868	4881	Boundary
HiC_scaffold_13	1640000	1645000	zf-C2H2	107	+	1103	1113	Boundary
HiC_scaffold_13	1740000	1745000	zf-C2H2	108	-	2304	2314	TAD_132
HiC_scaffold_13	1740000	1745000	zf-C2H2	108	-	1609	1622	TAD_132
HiC_scaffold_13	1740000	1745000	zf-C2H2	108	-	240	253	TAD_132
HiC_scaffold_13	1740000	1745000	zf-C2H2	108	+	3832	3845	TAD_132
HiC_scaffold_13	1740000	1745000	CSD	108	-	4531	4540	TAD_132
HiC_scaffold_13	1740000	1745000	HLH	108	-	4531	4540	TAD_132
HiC_scaffold_13	1740000	1745000	CENP-B_N	108	-	4619	4628	TAD_132
HiC_scaffold_13	1740000	1745000	HSF_DNA-bind	108	+	2320	2332	TAD_132
HiC_scaffold_13	2230000	2240000	zf-C2H2	109	-	9117	9127	TAD_133
HiC_scaffold_13	2230000	2240000	HSF_DNA-bind	109	+	9660	9673	TAD_133
HiC_scaffold_13	2230000	2240000	HSF_DNA-bind	109	-	2259	2268	TAD_133
HiC_scaffold_13	2230000	2240000	bZIP_1	109	-	9367	9376	TAD_133
HiC_scaffold_13	2230000	2240000	Myb_DNA-binding	109	-	7126	7135	TAD_133
HiC_scaffold_13	2260000	2270000	zf-C2H2	110	-	8115	8125	TAD_133
HiC_scaffold_13	2260000	2270000	zf-C2H2	110	-	8697	8709	TAD_133
HiC_scaffold_13	2260000	2270000	Myb_DNA-binding	110	+	701	710	TAD_133
HiC_scaffold_13	2260000	2270000	Myb_DNA-binding	110	-	3075	3085	TAD_133
HiC_scaffold_13	2260000	2270000	Myb_DNA-binding	110	+	353	363	TAD_133
HiC_scaffold_13	2260000	2270000	bZIP_1	110	+	3696	3706	TAD_133
HiC_scaffold_13	2260000	2270000	bZIP_1	110	+	4830	4840	TAD_133
HiC_scaffold_13	2260000	2270000	zf-C2H2	110	-	1812	1821	TAD_133
HiC_scaffold_13	2260000	2270000	zf-C2H2	110	+	5956	5965	TAD_133
HiC_scaffold_13	2260000	2270000	HSF_DNA-bind	110	-	6815	6828	TAD_133
HiC_scaffold_13	2260000	2270000	HSF_DNA-bind	110	+	714	727	TAD_133
HiC_scaffold_13	2340000	2350000	Homeobox	111	-	6843	6853	TAD_133
HiC_scaffold_13	2340000	2350000	zf-C2H2	111	+	360	370	TAD_133
HiC_scaffold_13	2340000	2350000	zf-C2H2	111	+	3470	3479	TAD_133
HiC_scaffold_13	2340000	2350000	E2F_TDP	111	-	8696	8707	TAD_133
HiC_scaffold_13	2340000	2350000	CSD	111	+	375	384	TAD_133
HiC_scaffold_13	2340000	2350000	HSF_DNA-bind	111	-	9670	9682	TAD_133
HiC_scaffold_13	2340000	2350000	bZIP_1	111	+	1546	1556	TAD_133
HiC_scaffold_13	2340000	2350000	AP2	111	+	3466	3474	TAD_133
HiC_scaffold_13	2380000	2390000	CG-1	112	+	2605	2614	TAD_133
HiC_scaffold_13	2380000	2390000	zf-C2H2	112	-	5544	5554	TAD_133
HiC_scaffold_13	2380000	2390000	zf-C2H2	112	+	7186	7198	TAD_133
HiC_scaffold_13	2380000	2390000	zf-C2H2	112	+	5545	5555	TAD_133
HiC_scaffold_13	2380000	2390000	E2F_TDP	112	-	2264	2275	TAD_133
HiC_scaffold_13	2380000	2390000	E2F_TDP	112	+	2264	2275	TAD_133
HiC_scaffold_13	2380000	2390000	bZIP_1	112	-	8695	8704	TAD_133
HiC_scaffold_13	2380000	2390000	bZIP_1	112	+	7920	7931	TAD_133
HiC_scaffold_13	2380000	2390000	Myb_DNA-binding	112	-	7305	7314	TAD_133
HiC_scaffold_13	2395000	2400000	zf-C2H2	113	+	156	166	TAD_133
HiC_scaffold_13	2395000	2400000	Myb_DNA-binding	113	-	3439	3448	TAD_133
HiC_scaffold_13	2395000	2400000	HLH	113	+	4287	4296	TAD_133
HiC_scaffold_13	2395000	2400000	HSF_DNA-bind	113	-	2878	2890	TAD_133
HiC_scaffold_13	2395000	2400000	HSF_DNA-bind	113	-	3311	3323	TAD_133
HiC_scaffold_13	2395000	2400000	HSF_DNA-bind	113	-	4100	4113	TAD_133
HiC_scaffold_13	2460000	2470000	CG-1	114	-	34	43	TAD_133
HiC_scaffold_13	2460000	2470000	zf-C2H2	114	+	7014	7024	TAD_133
HiC_scaffold_13	2460000	2470000	CENP-B_N	114	-	1874	1884	TAD_133
HiC_scaffold_13	2460000	2470000	CENP-B_N	114	+	2725	2735	TAD_133
HiC_scaffold_13	2460000	2470000	HLH	114	+	2057	2066	TAD_133
HiC_scaffold_13	2460000	2470000	Myb_DNA-binding	114	+	5216	5226	TAD_133
HiC_scaffold_13	2460000	2470000	Myb_DNA-binding	114	+	8089	8099	TAD_133
HiC_scaffold_13	2460000	2470000	bZIP_1	114	-	3866	3877	TAD_133
HiC_scaffold_13	2460000	2470000	CSD	114	+	5727	5736	TAD_133
HiC_scaffold_13	2460000	2470000	bZIP_1	114	+	5831	5840	TAD_133
HiC_scaffold_13	2460000	2470000	bZIP_1	114	-	5456	5470	TAD_133
HiC_scaffold_13	2460000	2470000	BrkDBD	114	-	5341	5351	TAD_133
HiC_scaffold_13	2460000	2470000	zf-C2H2	114	+	8375	8384	TAD_133
HiC_scaffold_13	2470000	2480000	bZIP_1	115	-	2406	2414	TAD_133
HiC_scaffold_13	2470000	2480000	Myb_DNA-binding	115	+	7467	7476	TAD_133
HiC_scaffold_13	2470000	2480000	Myb_DNA-binding	115	+	7120	7130	TAD_133
HiC_scaffold_13	2470000	2480000	Myb_DNA-binding	115	-	9834	9844	TAD_133
HiC_scaffold_13	2470000	2480000	zf-C2H2	115	-	3882	3892	TAD_133
HiC_scaffold_13	2470000	2480000	bZIP_1	115	-	5019	5033	TAD_133
HiC_scaffold_13	2470000	2480000	zf-C2H2	115	+	6246	6255	TAD_133
HiC_scaffold_13	2470000	2480000	zf-C2H2	115	-	8578	8587	TAD_133
HiC_scaffold_13	2470000	2480000	HSF_DNA-bind	115	+	7480	7493	TAD_133
HiC_scaffold_13	2545000	2550000	zf-C2H2	116	-	2055	2065	TAD_133
HiC_scaffold_13	2545000	2550000	zf-C2H2	116	-	2234	2246	TAD_133
HiC_scaffold_13	2545000	2550000	HSF_DNA-bind	116	+	1050	1059	TAD_133
HiC_scaffold_13	2545000	2550000	HSF_DNA-bind	116	-	1946	1957	TAD_133
HiC_scaffold_13	2545000	2550000	HLH	116	+	730	739	TAD_133
HiC_scaffold_13	2545000	2550000	zf-C2H2	116	-	1436	1445	TAD_133
HiC_scaffold_13	2590000	2600000	bZIP_1	117	+	7807	7816	TAD_133
HiC_scaffold_13	2590000	2600000	HLH	117	+	4881	4890	TAD_133
HiC_scaffold_13	2590000	2600000	Myb_DNA-binding	117	-	1861	1871	TAD_133
HiC_scaffold_13	2590000	2600000	bZIP_1	117	-	9239	9249	TAD_133
HiC_scaffold_13	2590000	2600000	zf-C2H2	117	+	609	619	TAD_133
HiC_scaffold_13	2590000	2600000	HLH	117	-	1134	1143	TAD_133
HiC_scaffold_13	2590000	2600000	Myb_DNA-binding	117	+	8398	8407	TAD_133
HiC_scaffold_13	2590000	2600000	Myb_DNA-binding	117	-	8400	8409	TAD_133
HiC_scaffold_13	2590000	2600000	Myb_DNA-binding	117	+	8502	8511	TAD_133
HiC_scaffold_13	2590000	2600000	Myb_DNA-binding	117	+	8926	8935	TAD_133
HiC_scaffold_13	2590000	2600000	zf-C2H2	117	+	609	619	TAD_133
HiC_scaffold_13	2590000	2600000	bZIP_1	117	+	5308	5318	TAD_133
HiC_scaffold_13	2590000	2600000	bZIP_1	117	+	7380	7390	TAD_133
HiC_scaffold_13	2590000	2600000	HSF_DNA-bind	117	+	2180	2192	TAD_133
HiC_scaffold_13	2590000	2600000	bZIP_1	117	+	6300	6310	TAD_133
HiC_scaffold_13	2590000	2600000	Homeobox	117	-	263	273	TAD_133
HiC_scaffold_13	2590000	2600000	Homeobox	117	+	266	276	TAD_133
HiC_scaffold_13	2790000	2800000	Homeobox	118	+	2921	2931	TAD_133
HiC_scaffold_13	2790000	2800000	Homeobox	118	+	7964	7974	TAD_133
HiC_scaffold_13	2790000	2800000	zf-C2H2	118	+	4691	4700	TAD_133
HiC_scaffold_13	2790000	2800000	HSF_DNA-bind	118	-	6706	6718	TAD_133
HiC_scaffold_13	2790000	2800000	HSF_DNA-bind	118	-	7372	7384	TAD_133
HiC_scaffold_13	2790000	2800000	Homeobox	118	-	8961	8971	TAD_133
HiC_scaffold_13	2790000	2800000	bZIP_1	118	-	1765	1774	TAD_133
HiC_scaffold_13	2790000	2800000	bZIP_1	118	-	6431	6440	TAD_133
HiC_scaffold_13	2790000	2800000	CSD	118	-	3583	3592	TAD_133
HiC_scaffold_13	2790000	2800000	HSF_DNA-bind	118	-	7372	7382	TAD_133
HiC_scaffold_13	2790000	2800000	CENP-B_N	118	-	5836	5845	TAD_133
HiC_scaffold_13	2790000	2800000	BrkDBD	118	-	1652	1662	TAD_133
HiC_scaffold_13	2790000	2800000	Myb_DNA-binding	118	+	6236	6245	TAD_133
HiC_scaffold_13	2790000	2800000	HSF_DNA-bind	118	-	4940	4953	TAD_133
HiC_scaffold_13	2910000	2920000	zf-C2H2	119	-	64	72	TAD_134
HiC_scaffold_13	2910000	2920000	Homeobox	119	+	5550	5560	TAD_134
HiC_scaffold_13	2910000	2920000	HLH	119	-	7348	7357	TAD_134
HiC_scaffold_13	2910000	2920000	HLH	119	+	7348	7357	TAD_134
HiC_scaffold_13	2910000	2920000	bZIP_1	119	+	3656	3665	TAD_134
HiC_scaffold_13	2910000	2920000	bZIP_1	119	-	9766	9777	TAD_134
HiC_scaffold_13	2910000	2920000	zf-C2H2	119	-	8321	8330	TAD_134
HiC_scaffold_13	2910000	2920000	HLH	119	-	6518	6527	TAD_134
HiC_scaffold_13	2910000	2920000	CENP-B_N	119	-	2441	2450	TAD_134
HiC_scaffold_13	2910000	2920000	Homeobox	119	-	2776	2785	TAD_134
HiC_scaffold_13	2910000	2920000	HLH	119	-	7347	7357	TAD_134
HiC_scaffold_13	2910000	2920000	HLH	119	+	7348	7358	TAD_134
HiC_scaffold_13	2910000	2920000	zf-C2H2	119	-	7204	7213	TAD_134
HiC_scaffold_13	2910000	2920000	HSF_DNA-bind	119	-	2782	2793	TAD_134
HiC_scaffold_13	3350000	3360000	CG-1	120	+	5574	5583	Boundary
HiC_scaffold_13	3350000	3360000	Homeobox	120	+	4893	4903	Boundary
HiC_scaffold_13	3350000	3360000	zf-C2H2	120	+	4664	4674	Boundary
HiC_scaffold_13	3350000	3360000	E2F_TDP	120	-	9948	9959	Boundary
HiC_scaffold_13	3350000	3360000	HLH	120	-	1476	1485	Boundary
HiC_scaffold_13	3350000	3360000	Myb_DNA-binding	120	-	5424	5434	Boundary
HiC_scaffold_13	3350000	3360000	CSD	120	+	2385	2394	Boundary
HiC_scaffold_13	3350000	3360000	CSD	120	+	8097	8106	Boundary
HiC_scaffold_13	3350000	3360000	zf-C2H2	120	-	3313	3323	Boundary
HiC_scaffold_13	3350000	3360000	HLH	120	+	8097	8106	Boundary
HiC_scaffold_13	3350000	3360000	BrkDBD	120	-	3590	3600	Boundary
HiC_scaffold_13	3350000	3360000	bZIP_1	120	+	6087	6097	Boundary
HiC_scaffold_13	3625000	3630000	zf-C2H2	121	+	3998	4008	TAD_135
HiC_scaffold_13	3625000	3630000	Myb_DNA-binding	121	-	1989	1998	TAD_135
HiC_scaffold_13	3625000	3630000	HSF_DNA-bind	121	+	480	489	TAD_135
HiC_scaffold_13	3625000	3630000	CENP-B_N	121	-	4608	4617	TAD_135
HiC_scaffold_13	3625000	3630000	Homeobox	121	+	4292	4301	TAD_135
HiC_scaffold_14	1850000	1855000	bZIP_1	122	+	3744	3753	Boundary
HiC_scaffold_14	1850000	1855000	HLH	122	+	3954	3964	Boundary
HiC_scaffold_14	1850000	1855000	bZIP_1	122	+	4624	4634	Boundary
HiC_scaffold_14	2010000	2015000	HSF_DNA-bind	123	+	2019	2028	TAD_140
HiC_scaffold_14	2010000	2015000	bZIP_1	123	-	12	22	TAD_140
HiC_scaffold_14	2010000	2015000	bZIP_1	123	-	12	23	TAD_140
HiC_scaffold_14	2010000	2015000	bZIP_1	123	+	12	23	TAD_140
HiC_scaffold_14	2010000	2015000	bZIP_1	123	+	1320	1331	TAD_140
HiC_scaffold_14	2010000	2015000	zf-C2H2	123	-	2764	2773	TAD_140
HiC_scaffold_14	2010000	2015000	Myb_DNA-binding	123	-	2327	2336	TAD_140
HiC_scaffold_14	2010000	2015000	Homeobox	123	+	3507	3516	TAD_140
HiC_scaffold_14	2010000	2015000	zf-C2H2	123	+	2764	2773	TAD_140
HiC_scaffold_14	2590000	2595000	HSF_DNA-bind	124	-	4965	4978	TAD_142
HiC_scaffold_14	2590000	2595000	bZIP_1	124	+	2420	2430	TAD_142
HiC_scaffold_14	2630000	2635000	Homeobox	125	-	1633	1642	TAD_142
HiC_scaffold_14	2630000	2635000	bZIP_1	125	+	3190	3199	TAD_142
HiC_scaffold_14	2630000	2635000	CSD	125	-	2772	2781	TAD_142
HiC_scaffold_14	2630000	2635000	CENP-B_N	125	-	1257	1266	TAD_142
HiC_scaffold_14	2630000	2635000	bZIP_1	125	-	2951	2965	TAD_142
HiC_scaffold_14	2885000	2890000	HTH_psq	126	-	3320	3328	TAD_142
HiC_scaffold_14	2885000	2890000	HTH_psq	126	-	3320	3328	TAD_142
HiC_scaffold_14	2885000	2890000	CG-1	126	-	2955	2964	TAD_142
HiC_scaffold_14	2885000	2890000	HSF_DNA-bind	126	+	3175	3184	TAD_142
HiC_scaffold_14	2885000	2890000	HTH_psq	126	-	3319	3328	TAD_142
HiC_scaffold_14	2945000	2950000	HTH_psq	127	+	1144	1152	TAD_142
HiC_scaffold_14	2945000	2950000	HTH_psq	127	+	1144	1152	TAD_142
HiC_scaffold_14	2945000	2950000	CG-1	127	+	1508	1517	TAD_142
HiC_scaffold_14	2945000	2950000	Homeobox	127	+	4503	4513	TAD_142
HiC_scaffold_14	2945000	2950000	bZIP_1	127	+	4136	4145	TAD_142
HiC_scaffold_14	2945000	2950000	HSF_DNA-bind	127	-	1288	1297	TAD_142
HiC_scaffold_14	2945000	2950000	bZIP_1	127	+	3953	3962	TAD_142
HiC_scaffold_14	2945000	2950000	HTH_psq	127	+	1144	1153	TAD_142
HiC_scaffold_14	2945000	2950000	bZIP_1	127	-	3381	3395	TAD_142
HiC_scaffold_15	485000	490000	CENP-B_N	128	+	2143	2153	
HiC_scaffold_15	485000	490000	bZIP_1	128	-	458	467	
HiC_scaffold_15	485000	490000	HSF_DNA-bind	128	+	332	341	
HiC_scaffold_15	485000	490000	CSD	128	+	1048	1057	
HiC_scaffold_15	485000	490000	bZIP_1	128	-	193	203	
HiC_scaffold_15	485000	490000	BrkDBD	128	+	4328	4337	
HiC_scaffold_15	1060000	1070000	HTH_psq	129	+	9478	9486	TAD_144
HiC_scaffold_15	1060000	1070000	Homeobox	129	+	7034	7043	TAD_144
HiC_scaffold_15	1060000	1070000	zf-C2H2	129	-	1569	1582	TAD_144
HiC_scaffold_15	1060000	1070000	bZIP_1	129	-	6515	6524	TAD_144
HiC_scaffold_15	1060000	1070000	bZIP_1	129	+	9515	9524	TAD_144
HiC_scaffold_15	1060000	1070000	HSF_DNA-bind	129	-	1129	1142	TAD_144
HiC_scaffold_15	1060000	1070000	HSF_DNA-bind	129	+	70	82	TAD_144
HiC_scaffold_15	1060000	1070000	HSF_DNA-bind	129	-	71	83	TAD_144
HiC_scaffold_15	1060000	1070000	E2F_TDP	129	+	5035	5046	TAD_144
HiC_scaffold_15	1060000	1070000	E2F_TDP	129	-	8638	8649	TAD_144
HiC_scaffold_15	1060000	1070000	HLH	129	+	3629	3638	TAD_144
HiC_scaffold_15	1060000	1070000	HSF_DNA-bind	129	+	216	225	TAD_144
HiC_scaffold_15	1060000	1070000	Myb_DNA-binding	129	+	30	38	TAD_144
HiC_scaffold_15	1060000	1070000	bZIP_1	129	-	2023	2033	TAD_144
HiC_scaffold_15	1060000	1070000	bZIP_1	129	+	2338	2348	TAD_144
HiC_scaffold_15	1060000	1070000	CSD	129	-	2593	2602	TAD_144
HiC_scaffold_15	1060000	1070000	zf-C2H2	129	+	6914	6924	TAD_144
HiC_scaffold_15	1060000	1070000	bZIP_1	129	-	4138	4147	TAD_144
HiC_scaffold_15	1060000	1070000	bZIP_1	129	-	6713	6722	TAD_144
HiC_scaffold_15	1060000	1070000	zf-C2H2	129	-	6004	6014	TAD_144
HiC_scaffold_15	1060000	1070000	HSF_DNA-bind	129	-	71	81	TAD_144
HiC_scaffold_15	1060000	1070000	zf-C2H2	129	-	6004	6014	TAD_144
HiC_scaffold_15	1060000	1070000	BrkDBD	129	+	5973	5983	TAD_144
HiC_scaffold_15	1060000	1070000	zf-C2H2	129	+	893	904	TAD_144
HiC_scaffold_15	1060000	1070000	bZIP_1	129	+	9515	9525	TAD_144
HiC_scaffold_15	1060000	1070000	HSF_DNA-bind	129	-	70	81	TAD_144
HiC_scaffold_15	1110000	1120000	Homeobox	130	+	7327	7336	TAD_144
HiC_scaffold_15	1110000	1120000	HSF_DNA-bind	130	+	7341	7354	TAD_144
HiC_scaffold_15	1110000	1120000	HSF_DNA-bind	130	+	7114	7126	TAD_144
HiC_scaffold_15	1110000	1120000	HSF_DNA-bind	130	-	7115	7127	TAD_144
HiC_scaffold_15	1110000	1120000	bZIP_1	130	-	4763	4773	TAD_144
HiC_scaffold_15	1110000	1120000	CSD	130	-	1675	1684	TAD_144
HiC_scaffold_15	1110000	1120000	bZIP_1	130	+	2023	2032	TAD_144
HiC_scaffold_15	1110000	1120000	bZIP_1	130	+	7037	7046	TAD_144
HiC_scaffold_15	1110000	1120000	bZIP_1	130	-	7039	7048	TAD_144
HiC_scaffold_15	1110000	1120000	zf-C2H2	130	-	7985	7994	TAD_144
HiC_scaffold_15	1110000	1120000	HSF_DNA-bind	130	-	7115	7125	TAD_144
HiC_scaffold_15	1110000	1120000	HLH	130	-	1101	1110	TAD_144
HiC_scaffold_15	1110000	1120000	HLH	130	-	4336	4345	TAD_144
HiC_scaffold_15	1110000	1120000	zf-C2H2	130	+	5369	5378	TAD_144
HiC_scaffold_15	1110000	1120000	zf-C2H2	130	+	7985	7994	TAD_144
HiC_scaffold_15	1110000	1120000	bZIP_1	130	+	2134	2144	TAD_144
HiC_scaffold_15	1110000	1120000	zf-C2H2	130	-	4385	4394	TAD_144
HiC_scaffold_15	1110000	1120000	HSF_DNA-bind	130	-	7114	7125	TAD_144
